Date,Hash/Parent Hash,Amount,Receiver,"Fee, Gwei"
9/20/2022 16:00,0xfcc6c676e5bbcd3a5e14dfea92e53c67ef4e591340ed7567c3aa244b1c94bedb,20002885430,Exir,286997.6852
6/22/2022 12:00,0x6f49981fe3bb85ec71a79b9083123b8d3ccb1dfc57f37b60fc0f15b08270a32a,45006708977,Exir,608069.0787
6/15/2022 7:00,0xb41974db1aaf785011cb7573c494aef58a12cd4b64f47f4051816192abbb8831,50014380013,Exir,764894.1954
1/13/2022 7:00,0x3997e333417dc86527b90323d9959ddf4bbabf136ab199df728146b200bf00d7,40033587120,Exir,3132489.997
9/27/2021 7:00,0x3e6515640fb3f111d92956bf81cdba00a3dad513ffc27075fdfd296e9172816a,1.20E+11,Exir,2016868.399
6/20/2021 16:04,0xe7763b00c2ae44ed4a1299d9cb6b2e3ba4016e74b991843db9dc61d3a045577d,99996122800,Exir,277200
5/24/2021 12:00,0x4379215bd241ba48f7d3feaccc9a79c2877cd7b4201b96cd64aa2c540a72a8d7,1.50E+11,Exir,1108800
5/20/2021 8:07,0x9e04d0bee42c01c46d6eaadb565c7c800a42d5115cd852d88542afb526404daa,99992195890,Exir,1804110
