Date,Transaction,Receiver,Amount
8/10/2022 20:01,f45326fc95b6b4f265482409d38ba4e3a29f63227f8346eb72881d7acb33b5d6,Wallex,10733.91107
8/10/2022 16:51,9836df2227618b43bd298829bb1237e8ae65fece86c5205b5abedc0d81cb5704,Wallex,325943.3354
8/10/2022 7:14,e16c4b7fb3e0009ebe36002fe1d3ecebbea84621e964267786c537630c8d9114,Wallex,307423.4342
8/9/2022 11:19,5e5b94d7d513b787376a22d40a0791029de532c3c53ad3c1881004947ed7617d,Wallex,399231.094
8/9/2022 5:08,9e15de3a36a432d17fafb71e1f6f84f430bfba2eb6c0321c9606aac3c8850890,Wallex,200000
8/8/2022 13:05,337d6376035de0817ae81c1f552354f8596c14b828a493b10119ad6c9137fdf8,Wallex,221397.3216
8/7/2022 18:21,00dc55174edced47666f5debdf4346066fec8d20884f1f36994b1d081c7b298f,Wallex,100000
8/6/2022 21:38,fde06c0192f058972801576dca3a04a027881d76239d0c4facb1cffc61e20ccf,Wallex,200000
8/6/2022 11:40,34ed07db6aada48a9fe101e59ec10c2fb439d392bf251b6c2db4eb2d04f2a4c3,Wallex,300000
8/5/2022 23:26,5879996f42a9113d96a319c32e5adc5531ebc955e8acabd7608ba118fd99a005,Wallex,225864.7431
8/4/2022 21:15,4f9ff9722712decf2d3b74f9f3d1b0f2f4ba8eddb8d0a812308b8cab08bac8e2,Wallex,300513.9492
8/4/2022 13:02,bcb3adaea2fa7a166f9a85a8cf76957824f689e7ed82cb1dd2d0e0ff9dab5a73,Wallex,42386.07168
8/3/2022 15:15,5ff71e7197ec31c88471345f98db4295d5d00650a3b317bad50fb777dd3fab01,Wallex,402685.2907
8/3/2022 6:50,8f2677533501f7fa3177fc10038f909f10314da80cb71add2476a76aba200074,Wallex,342793.8315
8/2/2022 13:14,5f6d9620602e064163b27139bae2e9652253acec977ccd86e12c94fbb1efdcf5,Wallex,258830.1188
8/2/2022 5:36,bdb5b1ea513ae5e7c7513ea98e1c329402aafb1931ee0de2d7aea15effad7941,Wallex,128419.7923
8/1/2022 22:29,429794d7ada45df20c02588c8943659ed0af0f8b938f0f719bd989d3b5fa54db,Wallex,180006.3526
7/31/2022 22:28,22b617efc3f2efb163ee333491e95af5d0aecb5bcb6330b00ba831c1eff42508,Wallex,183207.8702
