Date,Transaction,Receiver,Amount
7/21/2022 17:25,965fb34ea58492053b9ed1c138276fe5fe371be17dda0036f1b0d03e3bb3021e,bit24,15000
7/13/2022 10:31,1727e3fd5d0ca957378c08d361e6d4b6e9e72c9577e78e054b2e1ac71e364506,bit24,48083.2
7/13/2022 3:39,7d31af341e512fe089ebad7a8d58a6425371d9bb3d6ea28ad2f00d30a2f84594,bit24,20000
7/11/2022 17:48,4461094d4195256d56f9127ba6d563d0892341a6adb2bde289fc8f6ed7f7b2b1,bit24,50000
7/9/2022 21:27,5a829e6dafbc122bb3f815e3043924b99fcb3d0f6f6704e13fa0d82788622f83,bit24,40000
7/9/2022 19:03,6ff7685d2e5a3b3797fc8b5dd417d6cf9d572fea85ebb7a0e9503eeedeae518a,bit24,30000
7/9/2022 9:43,eeb7a0ca8b19342d1d3fbd845950de4af8b453b51ec8137049ce965608b56498,bit24,30000
7/8/2022 20:05,fb942065d96256efbf9639e22e011c8b7740cff6472cf5ea35c90f6a42ff4a25,bit24,30000
5/10/2022 10:20,289b09df757338d0bc02238f925d13aa8fe661221f1e325f380bfd1affdaf706,bit24,20000
4/29/2022 11:08,08c3959846a6952371c9705883b3e5b7c9e2c2c0d9b1bd11c7c79d25420df932,bit24,29329
4/28/2022 20:14,b6e14fbb30a454111cbd193dec19fb68f571a9c4002e503380be2745c4110586,bit24,30000
4/25/2022 13:17,652422031a77f8d6fc9e6cfe9b907ae8721e13eb893a27d35849cf500754845f,bit24,10000
4/23/2022 17:34,0bff1756e2520fd044272ec8124c3aa42415766fa7a0164782a372fbb1d00667,bit24,50000
4/22/2022 19:10,941383c4d122f83e02b05025528f15abbf7dacf96e1725110daffde9b7c72144,bit24,15692
4/12/2022 6:53,6c1992ec7b4f6781d6f860966e12a729f2d6555c65e716ccb9e662a758557053,bit24,30000
4/8/2022 14:06,4bc997447d0c85030da1805b76cdee5d941cc68f63c335a1198e9f788a0a8763,bit24,30000
3/29/2022 13:14,162d28d1bafe3df47741dcd5b3c2aa71054703f4f6ca47b60d4bb3741b22c2d4,bit24,40000
3/14/2022 20:16,dce07e3599df1b953f92e9bb951e3de5067f654d9f63fbcf934be048f8b7fab1,bit24,10000
3/11/2022 21:03,6c249c01ec5e164f553d98b39f3af9c33aa48ff0c04d98e822e83f0fec52c5ac,bit24,15000
3/10/2022 16:07,066ead49f6a38d2df59ebbc75a06924cf572c736116df4736bb81c5bad156d45,bit24,10000
3/10/2022 10:51,62ab33fcf58337569b876eeb128e986466754c20050576a344aa9f1d0a64956d,bit24,20000
3/7/2022 13:29,8c016539c6a75e7bc3d8c079cb6f7a0b51dfaf5f10b793cf0bb1009ea54c7d1e,bit24,50000
3/4/2022 11:21,dda23391b368a0ba1acf8f0c7654b90520bdc1534d19a87ffd96ab66b0839868,bit24,10000
2/28/2022 15:20,ea0f2d1a1f37f571485b72364951413ce7e0b38107249866a263c42d942d9935,bit24,20000
2/28/2022 14:30,94019e49be837240108b7eb739ee7b0447041795ac69853c79752da7ae4a0f78,bit24,20000
2/27/2022 14:34,35119a02ff603c880c11794a42f286eee1c5e732de5a254793c32f3292420e87,bit24,20000
2/24/2022 20:28,f9fc654d6e4aef79a198bc7aef166c7c01a4ab74b0ea4e0fd93157596194f7e2,bit24,20000
2/24/2022 9:04,d74f7e0882d9c94cbe5eedc991e72c2ba45bcf352f4e656995ea48cf5a53ccc3,bit24,30000
2/22/2022 10:23,cba9101ec881f50a560a81d6d4d3c7499d62724230ead4b82d6841d41c35b5d4,bit24,20000
2/20/2022 20:20,7d1eb9c99364153b4e695d32c81f88a7808707bfc0a7db170c87a799a8479146,bit24,10000
2/20/2022 16:06,017f7efbd6a8148fa2cb21fddcb4d898cf8242b53bb3081018530540b7ce7606,bit24,15000
2/17/2022 20:16,8990a1c514d5289d78e8176c046e60da7d6339086efd326834eae0d8c603e9a3,bit24,30000
2/14/2022 20:29,f22e3cbcfaa7b84ddb50f6e410513a64de0f1a751a9409731674c1f6430f98e2,bit24,30000
2/14/2022 8:15,9ef993fda26ea799bebaf19826c5dc2e0ee3150a4fc138d9d6615df354e479aa,bit24,30000
2/11/2022 20:58,d1121cda3368643478e22d2ebc4bd2f945f2474d7864b856e302ab3487a6565a,bit24,30000
