Date,Transaction,Receiver,Amount
5/25/2022 10:29,2d65523ecd2c84d78590eda0fc0844abfeaa27c2e96d3e6127d673a41c04c058,Nobitex,5700000
5/31/2022 5:57,4f11c8778b41ce892a2773de715c963ffe0c87609d961619ac375a0692429189,Nobitex,5385377.243
5/28/2022 18:35,aabfbdcc4882e674e0121407bd95e0c6f5f867e5fc118f2122988149f281710d,Nobitex,5122839.105
5/4/2023 4:32,66dcf2aa3ff998218770224db1b25618d04649e0048b0295e07f7277e7690c7b,Nobitex,5000000
4/26/2023 16:44,b9d43e2bac1cbaf27d24f7ac804becbe91d534b3c3885607849f7facc2b99427,Nobitex,5000000
4/24/2023 6:54,fd97bcef8817516fdc7551f19007d4d454f7dd3a6ce720e5a87eaedee3472e82,Nobitex,5000000
4/22/2023 7:43,1db830aee59322686eaf639409347210e85b227a851c3e7e8fc8b4d02278853e,Nobitex,5000000
4/19/2023 18:05,3d2ce47ece56c7e5fdd47878ad8a1203b494287e04da9a96294ab71813b705ca,Nobitex,5000000
4/3/2023 15:25,3906427494731eb84b564c846f5131e43985a94c6ee3e7f81283ead513d61830,Nobitex,5000000
3/24/2023 18:35,6508b347cf07f7c1fa7abc3dd6d69cd36b0b8bb0b38f41139e6122ce099c4fe5,Nobitex,5000000
3/1/2023 5:18,ea08d6f4279eeb84e52fa1de310f2f1bcd127b2e138a3a86fbd9bf5d3b53ac33,Nobitex,5000000
1/18/2023 7:46,cdb700abcdae4b48024af2839fcd9b348819d2b0da45bdc0cd075e65ec18fce3,Nobitex,5000000
5/30/2022 9:24,563717aefacadc419a9a92ac515d0215ec50999e80b85afcc85353801da19a1b,Nobitex,5000000
5/23/2022 15:26,fed6b97d0dd735e858b8591a31314888dfd62c68bd9a672ca7accc833973ea44,Nobitex,5000000
5/10/2022 4:05,cc7436463398da4d6ea1ff74d9bb8e5ceb0bdb25ca967115bebae2f1afdd52da,Nobitex,4999292.377
6/3/2022 13:03,57d8f3a7ed7b6ac025a142fd38ac652958937b2423227886ac809f2f7cac855b,Nobitex,4789859.861
6/5/2022 14:54,02d2591441776510af64dae561e81487295e04d9b7fba386fa9b91575fbfbb90,Nobitex,4660842.323
6/1/2022 10:39,4eb4acaf77583c33e15739da85ff582a0bb156fd689d8e4245aafc5c1cf0a93e,Nobitex,4430764.285
11/7/2022 3:57,e098c2206833c711b0ad8e6a0237be20003bbe79f426e28ccbc0d6eba963a29a,Nobitex,4206526.409
6/7/2022 11:31,2aca1d574d5ee20b546082f3253c66bf0c3833d46c87d8e69b2b28afd16fd2cc,Nobitex,4155818.84
