Date,Hash/Parent Hash,Amount,Receiver,"Fee, Gwei"
4/15/2023 5:07,0xebca6a491eae496e3cfe92930a7f5791a19d1e76f1362b85d1af31e9320882ca,39552745.58,Excoino,473365.9814
3/16/2023 16:55,0x650ac47a59f20ca54c35f4967b6d455010e30ecd96e873f139a0aceb26cdb9bd,100000000,Excoino,549951.7154
3/13/2023 5:44,0xfc05e4ed57231888702bcd27b34000f3b37495c4559733bc232a2a44cd1a0ef5,280000000,Excoino,329447.3284
3/12/2023 19:59,0xf13500231068322c5272fc5817fab518f842626500abddf9eb81632c9391ed98,550000000,Excoino,531204.2569
3/12/2023 11:16,0x9b4e0394d7e052d69b15782745d9f66e1f144ad90e934041b9191545ed64572e,900000000,Excoino,338765.9722
3/11/2023 13:08,0x2c2f15381fa7245e99f5d38b87569d4adb4f4e47d3e6b8e2333a0e26ceb770c6,900000000,Excoino,1262126.011
3/10/2023 20:54,0xbd704b55130b6f19af13d529e3a90ae610b47cc91bc716c51801b0fd092ad4d9,350000000,Excoino,1079896.923
3/10/2023 10:34,0x3d453884680c8f831275c8334577cb2e4ea6dc8fe72c81d537c0807969414fa5,1400000000,Excoino,696278.5409
3/10/2023 0:28,0x6ae3b0b81e920024da0ce37b0b638cf9abc36545d372093219eef054352126e6,300000000,Excoino,942523.8503
3/8/2023 9:59,0x7727901e84e850706e346671743205d2281a149b699d38723b2006233f90b59d,5000000000,Excoino,387154.1277
3/7/2023 18:52,0x5040eafe0ffd2299d6b2cd16eacdb543665440d09dae6a1b69743b3b96881e10,760000000,Excoino,777318.6936
3/7/2023 7:22,0x9d5e8066081a042a8a2dd6f97464ae6c664b83516d5110a1923139a77bd5e332,1400000000,Excoino,455303.9983
3/5/2023 10:11,0x486b36a1c17f8f72bb9b2fffbcca39267e415db9b5102c6e4b1511977d4ee3a0,700000000,Excoino,382689.5512
3/4/2023 10:09,0x524ebf7b0e04fda390b02166e511104f3628a292aa954af5c11a3d03f551577b,600000000,Excoino,441663.9895
3/3/2023 21:13,0x9e447c291b74b8ad512ad555eab82a0d7e0f4da993fd8eb65488ef640c6f8fde,900000000,Excoino,595720.2773
3/3/2023 10:41,0x16a9e9054cce67994e31490521d0ecdf2bc752f9eccb4357a2996250669c74c0,1000000000,Excoino,425473.1103
3/1/2023 9:02,0x8baf0baf0a830eafd87e29ab75621a3b9d52f3ee03d6a827d8f4845d2031fbc4,1000000000,Excoino,704185.4038
2/28/2023 21:52,0xe4f7a404bf795f5207c5e4f7dd7fbf9275e4d1b16bce637d57c0ce0f4cdef544,130000000,Excoino,1118303.017
2/28/2023 20:41,0x5210747cc12d53256b5924865b8b42e99e41c59bf1245b63dc22090696317445,1000000000,Excoino,591476.4625
2/26/2023 21:52,0x721ef2eed395d0a69d37b6f3c469d3aa5fe8b38f5fd85236097d713c7b62777b,900000000,Excoino,554388.1885
2/26/2023 13:56,0x0078c77abd0002b422e32426f8f8c72c04dde9513f100f7d7c7cfd2046fa2df5,300000000,Excoino,463887.5234
2/24/2023 19:43,0x87f2a1189b5444d7fd9600ded49fda2898e31452166471b039a6d48630884246,1300000000,Excoino,555637.3617
2/24/2023 9:38,0xfa483de697d59c1245d249740dc395357b1d40d9e668611acc729dcb06d1ccf0,200000000,Excoino,566374.0806
2/23/2023 13:16,0x829a7b0dbd84a71b7d5ed76c2f3a800e94eca14ab32d81745e5cb5f32c21c1bf,1000000000,Excoino,676279.5866
2/22/2023 19:25,0x999513809a9c4ada2e7676839a65bff9c2da451d7d84df9e2b053149327e6908,650000000,Excoino,848839.496
2/22/2023 14:30,0x48524a5ffe9167c63a034d27a42ca873dbc6c21c265263a395cc894f1f0f8f8c,750000000,Excoino,939105.907
2/22/2023 7:10,0x549e16f4cb12649afe5869e1483f49aa28d1775ae4fa08e9d5cde1d771ce4e3e,1000000000,Excoino,506689.1312
2/21/2023 22:25,0x39b618272b50991c678c93889aad440455df95c6763a073b7deb804419ca983b,1300000000,Excoino,680305.1577
2/21/2023 9:06,0xa5070a71d9c942aa024cbf87aa146d8b9c4e7bb288f662199a4f358e5d364f87,1700000000,Excoino,572408.5355
2/21/2023 5:31,0x3fefd2a22d167ec3b8c420b8232e466430a49b919f71ce6e93c4dbb938889365,1200000000,Excoino,668155.5039
2/19/2023 21:07,0x59b134534bcaa4a69caa65049703e5ce4a78b984e6b6809d427c594048ed5e8c,1700000000,Excoino,501086.8404
2/19/2023 15:44,0x78a49e1ac2cebe0d33fa1716b7574fb849b260dc2cab31bfb9d622d638541849,130000000,Excoino,648652.4523
2/19/2023 11:51,0x98d4a3efa4ef335eca93d69b81d74cae9c6b770700c3dceb205755b92493f9d2,700000000,Excoino,422768.6523
2/18/2023 13:29,0xb7ab1653754cd9e2ec7d714c4038be35a8dd8377ff472c9939facda2b15e6dce,900000000,Excoino,722032.0329
2/16/2023 19:49,0x0a8462eee4ce5bfce341917188e4f2cb7f54b155f6c5b03399d7b8cd416f5538,1300000000,Excoino,926890.2345
2/16/2023 9:46,0x0f3db25cd7ed89dcfebaa58517b3e71bcf627b13916a6abafd8542bf5825b21e,1500000000,Excoino,569126.0071
2/15/2023 14:37,0xd96af051ae8d025d97154120a4ab4c515deef90c73b1040e23ad5e785ea6281f,400000000,Excoino,940946.7017
2/14/2023 17:27,0xac53c9faff2e1dc2883d7f13be257951ec3b92b64bdb194dc708e9f11e96d117,900000000,Excoino,658794.3904
2/14/2023 15:27,0x927eaeb7dfbcd89a3cf3254eb1692a8a415c498377bbef731c5ad4638aef0e0a,1000000000,Excoino,810629.6515
2/14/2023 15:27,0x3e164c532575cc75e0e909b0132903a019149b148de674d25f2dbd2c9baaced3,100000000,Excoino,817473.1412
2/13/2023 11:58,0xbc231e33c6e372d52875e89499d1f6d86947fed61639bea4b6308ef7e2e4804c,300000000,Excoino,419504.5435
2/13/2023 8:31,0x59db2708edbc2c0ec6e09e65801868dbfa54d999d281226a228ca32d9eb6e1e6,300000000,Excoino,369995.0053
2/10/2023 9:47,0x80d96e3a13334bd2d33975c07da93765c0888f0b02c9e377e3a8595b7a0475af,700000000,Excoino,422962.068
2/10/2023 6:16,0xbc75c0e3cb333bef52af72c5b13456e9d9f4be7ebee01546099ec39df3125a52,200000000,Excoino,400418.2716
2/9/2023 12:09,0x8986a2d99e62a196d023248d18b9c9674888d8b02beca8980a8d5a558cbb9785,1000000000,Excoino,437772.0062
2/9/2023 8:26,0xe9ca55a62abdfb3889ff3e0256066819dd4895fa8f90c17362c4becac1102a20,500000000,Excoino,470265.646
2/7/2023 8:28,0x85926022710811c6245dc505310706656aacd7ebd0ec2c5336e4abc87dd38034,400000000,Excoino,520029.0639
2/5/2023 12:33,0x5857c4ccd70644716d8bb1580fd91eba06630e3cc3d0830cac1782509fbdd9cd,900000000,Excoino,361343.2712
2/5/2023 8:49,0x508c08aec21ef1ff5c24758eef98918cf2ee38a424bfd3be366960e9e2d46581,350000000,Excoino,346503.9194
2/4/2023 11:46,0x72589a57fe6c7b2ee11bb840cadaeb7ed39c6757d2a1fd96ee8e7415a74f932d,1500000000,Excoino,545515.9209
2/4/2023 8:55,0x8e094fa2a6a7a8a8541e4f9beefa0a343a809eef9e850e7f482f09a51d1ac41b,1500000000,Excoino,376531.6949
2/2/2023 13:10,0xa642b923b273646ea70d3a25ab2ce0b2b2182f760f8baae084bfec033874956f,1200000000,Excoino,675549.4859
2/1/2023 14:58,0x865be8e0aed8ddf827bc54e4fde94841e1128eb2bdb1a1333caa27ee1b08259a,900000000,Excoino,430404.3471
1/30/2023 20:24,0x0e0c3943d775e6e3e3d265c12404e1105840d07634c6409e3d6b0f925eb68731,1500000000,Excoino,527688.9128
1/29/2023 20:28,0x456eab2efadc762b1a753de8d85dd48046d6d1d14963fb3c14a0ee95e5a7934e,350000000,Excoino,355072.0684
1/29/2023 8:54,0xf70bdc25fdb97b3a18689f6aebc3231fbbbb6b78f1ef9154d96a24b6541bc6ee,1400000000,Excoino,304532.2289
1/28/2023 19:10,0x4d6934b2ec72de2a71fa270773e425a41ba2a75a99a176f6f3b149133b2d9927,900000000,Excoino,326803.4305
1/27/2023 20:47,0x698276a5dbba1257c519135003a2e43a0be44e46f96c98a79be679a5fb06729d,1000000000,Excoino,439889.055
1/26/2023 9:16,0x58429d8c9c098402fc444fa590bf6fa593ca00729d7bb4b909a3135b92de59d2,270000000,Excoino,301453.8048
1/25/2023 13:14,0xa9f2e46976c73597a972b57429aca2e15a900f0394f0522a895169146240caca,100000000,Excoino,337734.0658
1/24/2023 17:14,0x59a022c2c5daf31f70b94e1478dd1655cfd56590ce416ccd1260f3cd81ec2b9c,100000000,Excoino,706204.6841
1/24/2023 16:49,0x15855b78aaf770d3f61066b24dc4fb594b79e0b12c9c96728c2198ba06b5403e,1000000000,Excoino,708717.3544
1/24/2023 5:15,0x31e630b186f96505e8409959ac5deb37be423000aae7ccaf0ef8a2cd58a481db,1300000000,Excoino,327622.7618
1/23/2023 12:30,0x9e991408ec36e66066a01c82c170dde83dba26b379d5808390406678767873d6,700000000,Excoino,387302.2794
1/22/2023 19:00,0xe7f85c17bf1cfc990ee2b8744a98d402e0b234a2f10d4c18fb244f9964e90ab5,600000000,Excoino,315957.2958
1/22/2023 10:21,0xb837b87cfbb1e84973026c5cd75150b1a876446ab1f97815bc6d6ac481d96bf2,1000000000,Excoino,302311.0852
1/21/2023 12:19,0x39fb7e02be7495bf9cf13b93cf37a0088676e9c449b99b01997ac3ed9ec88358,300000000,Excoino,304787.6279
1/20/2023 7:54,0x437d84d42cd9a89d52736521b93b12d5bec68e83df02000ae7962d9fc37f40c1,700000000,Excoino,369284.6106
1/18/2023 14:37,0x10570c3928cb00ca6e0eebeb6ed3885f2a591ca2e3afe705b6801f9dc6c1a85d,1000000000,Excoino,489471.5167
1/16/2023 21:24,0xa5bce286d81dfbd8b8cdb6395e00361c9b48df6242915f334a0dbf1dc3308a10,500000000,Excoino,802483.3068
1/16/2023 19:06,0xb5dda1530e1b2690ce74287ba1c7bf79e330ec0e2fae9e45a9436b8709d65b76,800000000,Excoino,694373.3999
1/16/2023 12:04,0xe59c482482b2d9c73df537da22c6a2623fa2f3c8285f943ccd95926966a4c069,1000000000,Excoino,339993.0445
1/15/2023 11:40,0x75fa011448c3e861c7e50795c9e171759a47b82211f26490600a020ab4318518,1200000000,Excoino,315768.6278
1/14/2023 12:52,0x96e145a1103ba0e2e0b5de57f217e49f48a57cf99e3deb4b1b1fb8527e7f42f7,1400000000,Excoino,374198.9917
1/14/2023 10:58,0x35dfe079f8bd5d1646c627a72cae6bca5492a98c7cdf5865bd28d4778a526fda,500000000,Excoino,364831.0159
1/12/2023 23:04,0x8aa8970c8ac1aec22e3828c0c6a0c69213b7db710c9bfb99129b6aff9d503b69,80000000,Excoino,557047.7033
1/12/2023 20:16,0x242593640d25dc1e4d249e29f8221d62af10e445053b478da60fae053e99d610,700000000,Excoino,579740.4945
1/12/2023 11:18,0x87d8c59e3845b2186983929b4de31ae9443fb2b44d0ebbbd2da0468a9c8c9ba3,900000000,Excoino,337919.9213
1/11/2023 7:59,0xe21fe64ee22fa0560da5054fbca96fbad91a5fd5ab7c6153a3aeb5afb4bd4b18,1000000000,Excoino,317362.9746
1/10/2023 13:47,0x9a717d74f2b31b3be950c3cadfa23623672bdf00d8f422596c3283ba6c21daee,400000000,Excoino,406957.3309
1/10/2023 6:44,0xa3b64c1c9b459fb608417e337464db49287f4fae734610bcec702648405e5c21,1700000000,Excoino,313680.5245
1/9/2023 8:10,0x927417ca375d4fdd4dce1f5ec98fbd1b0ae14067c41425e018465d4b7af396d9,600000000,Excoino,317144.2599
1/8/2023 17:51,0x4023513fc46816b12859293c9238c621f063b16aad2919c7fa07749215fb7f54,700000000,Excoino,443729.829
1/8/2023 8:13,0xa25102a20359224dd98509d3e632a5b697fc513f3c9dfb9613e949f20b8321a9,1370000000,Excoino,351324.6951
1/7/2023 9:13,0x3ec162da0663ac78d74e37161824518367d624c40b5ecc57adafa33a4f086189,1000000000,Excoino,306644.0868
1/4/2023 18:00,0xa3d06e3a2fdfa2725644489d74388b1acb5f3dc1c7549ff98c5a8ea1b326aa83,550000000,Excoino,604949.5852
1/1/2023 20:43,0x619d9fa512ba1330c7f211a51da82ed8b6136734da222fbef1e4114cf66a9382,1000000000,Excoino,306795.8229
1/1/2023 11:13,0x136844ca15ca28bea45ca73f4a3edb0f0166ca120b2c9fdaffe4af9d01470ae9,500000000,Excoino,317950.3312
1/1/2023 5:04,0x8cabae4b1805decf77d779f3cd565d27e1777e5ab2c9b5d8642c72582f067151,1000000000,Excoino,323701.2577
12/30/2022 11:11,0x1fad0ac241a82c885ab6a259d804f48bdf1c2657803f741dbfc0751630090e00,1000000000,Excoino,294534.9998
12/29/2022 21:27,0x73455cc2440d10e755c26a33ab20c2c0d7e5ad77030ac421f257b12de5f6dc63,1000000000,Excoino,363438.8583
12/29/2022 16:19,0x4feaf7184c19c8e11045c48db80dfb5ba2822d8f55810681fe1ed55617f63296,900000000,Excoino,376870.1243
12/29/2022 6:59,0x7b161c54277547a582ec37c5e7249792d9ac538bfdeb84f9cd6eaa72f0e23e77,1400000000,Excoino,301948.2581
12/29/2022 6:33,0x762bb7a6a0ebff36eecf6959ad63b0223bed01c885fc1ff1c970a1f2f68ade0f,800000000,Excoino,307012.4959
